Unnamed: 0,Tweet,len,metrics,source
88,trust scientist trust nerd love guy speak authent other present highli sophist book_call present fact show select graphic_novel http_co 22xigcojni,176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
89,realli hope pmln could demonstr spine protect leader like maulana jui,73,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
90,great see,9,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
91,love see list accomplish guy_joe biden lengthi right consid 47_year,78,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
92,i love_youuuuuuu you,16,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
93,i angri,7,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
94,port realli like shit bed,25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
95,it sound bad paper think repercuss peopl rich power isnt realli bad lol,80,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
96,pleas i keep get ratio i mute move look dn i love see ignor lmao,77,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
97,wait amazon great indian festiv flipkart big billion day now price laptop high good game laptop start 50k if u want daili use normal game lower set u laptop avail market 30k 40k,198,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
98,i love jon baiden,17,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
99,except gorilla would better job gorilla kinder within social group,67,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
100,as_long love,12,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",twittbot.net
101,i love pen,11,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
102,anyon_interest ai give follow ai sidekick ai onboard autonom mayflow vessel they great back_forth nice break crypto,123,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
103,whi whi i never feel_like i love,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
104,superstrong sea spong could help_build better spacecraft http_co nuyvdwjqz6,77,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
105,love_u,6,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
106,nooo sue i love her somchhddj no,29,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
107,i play atm realli_enjoy start screen music,45,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
108,is anyth administr even remot decent anyth jfc i hate motherfuck much http_co 1ujpmuwe1g,106,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
109,i think ap describ band power pop,35,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
110,love you_babe u,16,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
111,feel_like get monday and concept photo,39,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
112,anon cc realli said bob hadnt rude j son wouldv got bellark beach endgam read fuck room never_gonna make endgam bellami never_gonna make last scene peopl would think bc endgam didnt,190,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
113,i person find_ador i love you good human i respect i hope stay happi healthi alway,91,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
114,believ fantasi 3_year feel yesterday found thought rowoon cute lipstick princ,80,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
115,think 5 sub favour larger team stack squad,48,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
116,suck that mattel are struggl with thoma they been do realli good with it,80,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
117,i wanna see glow up quot post pictur 2017 2018_2019 2020 i guess hair chang and i bare photo 2020 pandem appar confid boost i feel uglier ever lol http_co n8d0usbgzd http_co rdcpxs6m7j,207,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
118,labour reform increas eas busi protect india worker http_co p3y6tftbsb via namo app http_co gfhu9i7ii6,115,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
119,i sore realli need see http_co gmjvvmo2mm,42,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
120,you nigeria got free you just know time fight twice hard it may feel_like tear two don stop,94,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
121,better young thug travi,24,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
122,if option mail_ballot pleas afraid i spoken local postal worker there bigger threat job trump dejoy who think vote they_respect ballot http_co 8lzzegandj,159,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
123,love_u congrat kev,19,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
124,guy someon made an edit with the cinderella movi and the wonder_trailer and i can_t help but think soft thing help http_co blasubshho,138,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
125,lost_motiv i guess feel_like i make progress,54,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
126,great messag tank we_need get tv pleas look incred inspir person,75,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
127,i love distract even possibl annoyingli hand work properli moment stupid rsi suspect increas stress level might help,130,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
128,and well thank banger ugandan music slowli get direct love see we_gotta tabl soon_full video http_co y7sjlc5jil http_co 4ixbvzlr29,141,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
129,you bad trump 330 million_american two serious fuck,54,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
130,great rundown thank,20,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
131,my day super great hectic schedul,35,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
132,i think money lock away misus,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
133,love,4,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
134,my_heart break chrissi_teigen word cant describ_pain must feel_pain i even_imagin i hope feel better_soon,115,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
135,i love_u,8,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
136,of_cours i love tea teapot second quirki version http_co 24la560neu,70,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TweetDeck
137,deserv ittt love_youuu it you,23,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
138,great detail now need color,31,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
139,sure ever peopl see scotland piss rip right sure nation great decid happen etonian brush fuckin hair http_co qfldkah2b0,130,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
140,oh well carri_life you better peopl make_account woman deserv one,68,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
141,i get good exposur bad he get expos plenti bacteria he eat mulch occasion manag put sister shoe mouth i sanit hous but unforeseen long_term consequ cohort babi,183,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
142,i advis anyon feel bit shit today buy bag launchabl snack item nut smarti prefer lob hand direct mouth you may chew whatev goe nearli choke almond laugh,180,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
143,no mine i think want see,24,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
144,you wrong syrian turk matter fact turk great hard_work peopl help_build germani,91,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
145,pelosi love god accept deal draft new one trump offic,54,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
146,all libran horoscop i think formid thing could_happen,60,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
147,i love you so_much babi,23,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
148,spoiler got feel_like psycho v,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
149,yeah true feel glad sad period aw lol,40,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
150,love_u too babe,16,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
151,i love mar,11,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
152,love goe sb19 request_sb19 rtday http_co vjjf5mlfsq,53,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
153,in dark shadow lurk men think ghost women think men,52,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
154,mwah love ya hater love ya lover eme http_co jpaddvm5p9,58,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
155,yeah love bangchan http_co ssz6pwiog,38,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
156,i like godfath iii well alway confus hate wrote godfath ii bia,70,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
157,i feel_like watch angri bird everytim jaehwan expos eye brow lol http_co dkngffkzef,92,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
158,realli cancel u lmaoasdjdjjd http_co nbpcqrgmeu,51,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
159,carrington realli aint morn person,37,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
160,abl spend_much time ppl love make brain go real funki,56,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
161,may_lord give famili_strength come stronger better,50,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
162,ye we love da vinci chaldea god i miss roman i technic_still na arc i miss_much i know happen,99,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
163,littl fun_fact did know 4_year ago ms arianagrand use call fan ariana armi fun see arian bt_armi move along support call ariana x bt_armi also love arian,171,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
164,my feel bsg great show three season great tv too_bad never made 4th season would nice_stori wrap,103,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
165,discuss london public space could better repres citi black_histori http_co eiw67xpxkn,93,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hootsuite Inc.
166,exactli like steal better man,29,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
167,told mom great bm 1,19,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
168,whi feel necessari announc just satisfi,42,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
169,everyon love nice sign piec memorabilia especi get close xma page offer_great piec great deal sign sport memorabilia check http_co sqdldtuhb http_co u2t82dmrc1,185,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
170,it better human dissatisfi dog satisfi better socrat dissatisfi fool satisfi you right mam peopl understand neutral stanc,136,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
